id	goodinfo	condemn	qAnswered	totalCorrect	percCorrect	ansall	dowork	doromantic	doacademic	dodrugs	trustswork	trustsromantic	trustsacademic	trustsdrugs	trustgwork	trustgromantic	trustgacademic	trustgdrugs	likework	likeromantic	likeacademic	likedrugs	compq1work	compq1romantic	compq1academic	compq1drugs	compq2work	compq2romantic	compq2academic	compq2drugs	compq3work	compq3romantic	compq3academic	compq3drugs	compq4work	compq4romantic	compq4academic	compq4drugs	sumdo	sumtrusts	sumtrustg	sumlike	sumtotal	age	gender	edu	income	generaltrust	previousexperience
1	1	1	16	16	1	1	4	2	2	2	5	3	5	5	4	4	5	5	5	3	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.5	4.5	4.5	4.5	4.75	47	1	6	1	5	3
2	0	0	16	16	1	1	5	4	4	5	4	4	1	5	4	5	3	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	3.5	3.5	4	4	3.75		1				
3	1	1	16	16	1	1	2	1	5	3	5	6	5	5	5	5	3	3	6	7	6	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.25	5.25	4	5.75	5.0625	35	1	5	7	6	2
4	0	1	16	16	1	1	4	5	4	3	4	5	4	4	4	4	4	4	4	3	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4	4.25	4	3.75	4	38	1	4	7	1	3
5	0	0	16	16	1	1	3	5	3	2	5	4	5	5	5	5	5	5	4	5	5	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4.75	5	4.5	4.75	24	2	5	3	5	2
6	0	0	16	16	1	1	6	3	2	3	3	4	5	5	2	2	5	5	3	4	6	6	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.5	4.25	3.5	4.75	4.25		1				
7	1	0	4	3	0.75	0			3				5				5				5				2				1				1				2		5	5	5	5	5		1				
8	1	0	16	16	1	1	2	2	3	3	6	5	3	5	5	5	3	5	5	5	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.5	4.75	4.5	4.5	4.8125	29	1	6	4	6	4
9	0	1	16	16	1	1	2	2	2	2	6	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6	5.25	5	5	5.3125	34	2	4	5	5	3
10	0	1	4	2	0.5	0				4				3				3				3				3				2				3				1	4	3	3	3	3.25		1				
11	1	1	16	16	1	1	1	1	2	1	7	7	5	7	7	6	6	5	6	7	3	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.75	6.5	6	5.5	6.1875	23	1	6	7	5	1
12	0	0	4	3	0.75	0				4				4				4				4				1				1				1				2	4	4	4	4	4		1				
13	1	1	16	16	1	1	4	4	4	5	5	5	6	5	6	5	5	4	5	5	6	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	3.75	5.25	5	5	4.75	28	1	4	4	4	1
14	0	0	4	4	1	0			4				4				4				4				1				1				3				2		4	4	4	4	4		1				
15	0	1	16	16	1	1	1	1	1	2	6	7	7	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.75	6.5	6	6	6.3125	24	1	6	4	6	1
16	1	1	16	16	1	1	1	1	1	1	7	7	7	7	6	7	6	5	7	7	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	7	7	6	6	6.5	24	2	5	4	6	1
17	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	22	1	5	3	3	1
18	0	1	16	16	1	1	2	2	3	3	6	6	5	5	5	6	5	5	5	6	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.5	5.5	5.25	5.25	5.375	24	1	5	1	5	1
19	1	0	16	16	1	1	2	2	2	3	4	6	5	6	5	5	5	5	4	5	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.75	5.25	5	4.25	5.0625	23	1	5	5	2	4
20	1	0	4	2	0.5	0	2				6				5				4				2				3				1				2				6	6	5	4	5.25		2				
21	1	1	16	16	1	1	2	1	2	2	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.25	5	5	5	5.3125	24	1	5	7	5	1
22	1	0	16	16	1	1	2	2	2	2	5	5	5	5	5	5	5	5	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	5	5	5	5.25	32	2	5	7	4	2
23	1	1	16	16	1	1	1	1	1	1	6	6	6	6	6	6	6	6	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	7	6	6	4	5.75	27	2	5	3	5	3
24	1	1	16	16	1	1	1	1	1	1	6	6	6	6	5	6	6	6	5	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	7	6	5.75	5.75	6.125	22	1	4	4	4	3
25	1	0	16	16	1	1	2	2	3	6	6	6	5	5	4	5	5	5	5	7	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.75	5.5	4.75	5.5	5.125	26	1	5	5	7	1
26	0	1	16	16	1	1	3	1	2	1	4	7	5	6	5	6	5	5	4	6	4	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.25	5.5	5.25	4.75	5.4375	34	1	2	4	3	1
27	0	0	4	4	1	0		4				4				4				4				1				1				3				2			4	4	4	4	4		1				
28	1	0	16	16	1	1	2	2	2	2	7	7	7	7	6	6	6	7	6	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	7	6.25	6	6.3125	29	1	4	5	5	3
29	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	29	2	4	6	5	1
30	1	1	12	11	0.916666687	0		1	1	1		4	4	6		4	5	5		6	5	5		2	1	2		1	1	1		3	3	3		1	1	1	7	4.666666508	4.666666508	5.333333492	5.416666508		2				
31	1	0	16	16	1	1	2	2	4	3	5	4	5	4	4	4	4	4	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.25	4.5	4	4	4.4375	25	2	5	6	4	1
32	0	0	16	15	0.9375	1	1	1	2	1	6	6	6	6	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	3	3	3	3	3	2	2	2	6.75	6	6	6	6.1875		1				
33	1	1	16	16	1	1	2	3	2	2	6	5	6	6	5	4	6	5	5	5	6	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.75	5.75	5	5.5	5.5	23	1	6	2	5	1
34	0	1	16	16	1	1	2	2	3	3	6	5	5	4	5	5	5	4	3	3	4	3	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.5	5	4.75	3.25	4.625	38	1	4	5	5	2
35	0	1	16	16	1	1	1	7	1	1	6	6	6	6	6	6	6	6	7	6	6	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.5	6	6	6.25	5.9375	49	2	4	8	6	1
36	1	1	16	16	1	1	2	2	2	3	6	6	7	6	6	6	6	5	4	5	6	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.75	6.25	5.75	5	5.6875	46	1	6	3	5	2
37	0	1	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4	4	4	4	4	42	1	6	7	4	3
38	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	25	1	4	6	5	1
39	1	0	16	16	1	1	2	2	2	2	6	5	6	6	5	5	5	5	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	5.75	5	5	5.4375	25	1	6	2	6	1
40	0	0	16	16	1	1	3	3	4	3	4	3	4	4	4	4	4	4	4	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	3.75	4	4.75	4.3125	40	2	5	6	5	1
41	0	1	12	11	0.916666687	0		2	3	2		4	4	5		5	4	5		4	3	4		1	1	1		1	1	1		3	3	2		1	1	1	5.666666985	4.333333492	4.666666508	3.666666746	4.583333492		1				
42	1	0	16	16	1	1	4	2	4	3	5	5	5	6	4	5	4	4	4	5	4	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.75	5.25	4.25	4.5	4.6875	33	1	6	9	4	2
43	0	0	16	16	1	1	4	3	4	3	5	5	5	7	5	5	5	6	5	5	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.5	5.5	5.25	5	5.0625	36	1	4	1	5	1
44	1	1	16	16	1	1	3	2	4	3	6	5	5	6	6	6	6	5	6	6	5	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5	5.5	5.75	5.75	5.5	21	1	4	2	6	3
45	0	0	16	16	1	1	2	2	3	2	6	5	5	6	6	6	5	6	5	6	4	6	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	5.75	5.5	5.75	5.25	5.5625	36	1	2	4	6	1
46	0	1	16	16	1	1	3	3	4	1	3	4	2	2	3	2	2	2	2	3	2	2	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.25	2.75	2.25	2.25	3.125	22	1	5	2	5	1
47	1	0	8	7	0.875	0	4			7	1			1	4			1	7			4	2			2	2			1	3			3	2			2	2.5	1	2.5	5.5	2.875		2				
48	0	0	16	16	1	1	3	3	3	4	5	5	5	5	5	4	5	5	5	4	5	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	5	4.75	4.75	4.8125	25	1	5	6	5	2
49	1	0	16	16	1	1	2	2	2	2	7	6	5	6	6	5	4	6	6	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	6	5.25	6	5.8125	32	1	2	4	3	3
50	1	1	16	16	1	1	2	2	4	1	5	3	4	6	5	4	4	5	4	4	3	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.75	4.5	4.5	4	4.6875	23	1	2	2	4	5
51	0	1	4	3	0.75	0				4				1				1				1				1				1				1				1	4	1	1	1	1.75		1				
52	0	1	16	16	1	1	2	1	1	1	4	5	5	5	4	5	3	4	3	5	3	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.75	4.75	4	3.75	4.8125	22	2	4	2	6	1
53	1	1	16	16	1	1	2	2	2	1	6	6	6	6	5	5	5	5	5	6	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6.25	6	5	5.25	5.625	26	2	4	4	6	2
54	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	24	2	5	8	5	1
55	1	1	4	3	0.75	0				4				4				4				4				1				1				3				1	4	4	4	4	4		2				
56	1	0	16	16	1	1	2	2	2	2	6	5	6	6	5	5	5	5	6	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	5.75	5	6	5.6875	26	2	4	2	6	1
57	1	0	16	16	1	1	2	3	2	1	7	7	7	7	7	6	7	6	6	7	5	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	7	6.5	6	6.375	32	1	3	1	2	4
58	0	0	16	16	1	1	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	3.25	4	4	3.8125	49	2	6	6	4	1
59	0	0	16	16	1	1	3	4	4	2	5	3	4	4	5	2	3	5	4	3	3	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4	3.75	3.75	4.0625	30	1	5	6	5	1
60	1	1	16	16	1	1	6	2	2	2	6	5	4	5	4	4	4	4	4	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5	5	4	4.75	4.6875	38	2	4	9	5	1
61	0	1	16	16	1	1	3	3	3	2	4	4	4	4	4	5	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.25	4	4.25	4	4.375	18	2	2	1	4	1
62	1	0	16	16	1	1	2	2	1	1	6	6	6	6	6	6	6	6	6	5	5	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6.5	6	6	5.5	6	20	2	4	6	5	1
63	1	1	16	16	1	1	2	2	2	2	6	5	7	6	5	3	5	4	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	6	4.25	4	5.0625	27	1	2	5	6	1
64	1	0	16	16	1	1	4	4	4	4	6	5	6	5	5	5	5	5	4	4	5	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4	5.5	5	4.25	4.6875	29	1	4	7	5	1
65	0	1	16	16	1	1	1	1	1	1	7	7	7	7	5	6	6	5	5	5	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	7	7	5.5	4.5	6	28	1	2	4	5	3
66	0	0	16	16	1	1	4	3	3	3	4	5	4	4	4	5	4	4	4	5	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4.25	4.25	4.25	4.375	32	1	5	6	5	1
67	0	0	16	16	1	1	3	4	3	3	5	4	4	6	3	3	3	3	5	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4.75	3	4.25	4.1875	41	2	2	5	5	2
68	0	1	16	16	1	1	2	1	2	1	6	7	5	6	6	7	6	6	5	7	5	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6.5	6	6.25	5.5	6.0625	21	1	4	6	4	4
69	0	1	16	16	1	1	2	5	2	3	5	2	5	5	5	3	5	5	5	3	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5	4.25	4.5	4	4.4375	24	2	6	2	5	1
70	1	1	16	16	1	1	2	2	2	2	6	5	5	6	5	5	5	5	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	6	5.5	5	5	5.375	35	1	6	1	4	2
71	1	0	4	4	1	0	3				6				5				4				2				1				3				2				5	6	5	4	5		1				
72	0	1	16	16	1	1	4	3	3	2	2	3	3	3	3	4	3	3	3	3	2	3	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5	2.75	3.25	2.75	3.4375	25	2	4	1	5	1
73	0	1	16	16	1	1	4	3	4	4	3	4	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.25	3.25	3	3	3.375	50	1	5	2	6	1
74	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	57	2	5	5	5	1
75	1	0	16	16	1	1	3	3	3	3	5	5	5	5	5	5	5	4	5	5	5	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5	5	4.75	4.75	4.875	21	2	5	8	5	1
76	0	0	4	1	0.25	0			4				3				3				2				1				2				2				1		4	3	3	2	3		1				
77	1	0	16	16	1	1	2	2	2	1	6	6	7	6	6	6	7	6	6	5	7	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6.25	6.25	6.25	6	6.1875	20	1	4	5	6	2
78	1	1	4	3	0.75	0	5				4				6				5				2				1				3				3				3	4	6	5	4.5		1				
79	1	0	16	16	1	1	2	2	2	2	7	5	4	6	6	5	5	5	5	5	4	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	5.5	5.25	4.75	5.375	28	1	5	5	5	1
80	0	1	16	16	1	1	1	1	1	1	6	6	7	7	6	6	6	6	6	6	6	6	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	7	6.5	6	6	6.375	22	1	4	1	5	1
81	1	1	16	16	1	1	2	3	4	1	6	6	6	7	5	5	5	5	5	4	5	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.5	6.25	5	5	5.4375	32	1	2	1	5	2
82	1	1	16	16	1	1	1	1	1	1	7	6	6	5	6	6	7	6	6	5	6	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	7	6	6.25	5.5	6.1875	20	2	4	1	6	1
83	1	0	16	16	1	1	2	2	2	2	7	6	6	6	7	6	7	6	7	6	7	7	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	6.25	6.5	6.75	6.375	29	2	5	8	6	1
84	0	0	16	16	1	1	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.25	4	4	4	4.0625	21	1	4	2	3	1
85	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	29	2	5	8	4	1
86	1	1	16	16	1	1	1	1	1	1	6	6	6	7	4	7	6	7	5	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	7	6.25	6	5.75	6.25	18	1	2	1	3	1
87	0	1	16	16	1	1	2	7	6	3	3	3	2	2	2	2	2	3	2	2	1	3	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	3.5	2.5	2.25	2	2.5625	41	2	4	2	1	1
88	1	0	16	16	1	1	2	2	3	2	6	6	5	4	5	4	3	4	5	5	2	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.75	5.25	4	4	4.75	24	1	6	5	6	1
89	1	1	16	15	0.9375	1	1	2	2	1	6	5	5	6	5	5	6	5	3	4	5	4	2	2	2	2	1	2	1	1	3	3	3	3	1	1	1	1	6.5	5.5	5.25	4	5.3125		1				
90	1	0	4	3	0.75	0			3				6				6				4				1				1				3				2		5	6	6	4	5.25		1				
91	0	0	8	7	0.875	0	4			4	4			4	4			4	4			4	1			1	1			1	3			2	2			2	4	4	4	4	4		1				
92	0	1	8	8	1	0		1		1		1		7		1		7		1		7		1		1		1		1		3		3		1		1	7	4	4	4	4.75		1				
93	1	0	16	16	1	1	1	3	3	2	3	4	3	4	3	4	4	4	1	4	1	1	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.75	3.5	3.75	1.75	3.6875	30	1	4	1	1	2
94	1	1	16	16	1	1	1	1	1	1	6	6	5	5	5	6	5	5	4	6	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	7	5.5	5.25	5	5.6875	23	1	5	2	5	1
95	1	1	16	16	1	1	5	2	2	2	5	5	5	5	5	5	5	4	5	5	5	5	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5.25	5	4.75	5	5	28	1	6	5	5	3
96	1	0	16	16	1	1	3	2	4	5	5	3	4	2	5	4	4	4	5	2	4	3	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	4.5	3.5	4.25	3.5	3.9375	22	1	4	8	3	1
97	0	1	16	16	1	1	5	3	3	3	3	5	3	5	4	6	4	5	2	6	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	4.5	4	4.75	4	4.3125	27	1	6	6	6	1
98	0	1	16	16	1	1	1	3	2	5	5	4	5	5	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	5.25	4.75	4	4	4.5	25	2	4	5	3	2
99	0	0	16	16	1	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4	4	4	4	4	24	1	6	6	4	2
100	1	1	16	16	1	1	2	2	2	6	6	6	6	6	6	6	6	6	6	6	6	6	2	2	2	2	1	1	1	1	3	3	3	3	1	1	1	1	5	6	6	6	5.75	22	2	5	10	6	1
101	0	0	16	16	1	1	3	3	3	4	4	4	4	4	4	3	4	4	4	4	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.75	4	3.75	4	4.125	26	1	4	3	4	1
102	1	0	16	16	1	1	3	2	3	3	5	6	6	4	5	5	5	4	4	4	4	4	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	5.25	5.25	4.75	4	4.8125	23	2	5	1	4	1
103	1	1	4	3	0.75	0			2				6				5				5				2				1				2				1		6	6	5	5	5.5		1				
104	0	0	16	16	1	1	3	4	4	4	5	4	4	5	5	4	4	5	5	4	4	5	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.25	4.5	4.5	4.5	4.4375	27	2	6	5	6	1
105	0	0	16	16	1	1	3	4	4	3	4	4	4	4	4	4	4	4	5	5	4	4	1	1	1	1	1	1	1	1	3	3	3	3	2	2	2	2	4.5	4	4	4.5	4.25	24	2	5	5	5	1
106	1	1	8	7	0.875	0			7	7			1	1			4	4			1	1			2	2			1	1			3	2			1	1	1	1	4	1	1.75		2				
107	1	0	16	16	1	1	2	2	2	2	6	6	6	7	5	5	5	5	4	5	4	5	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	6	6.25	5	4.5	5.4375	28	1	5	5	4	1
108	1	0	16	16	1	1	1	1	1	1	7	7	5	6	7	7	5	6	7	7	5	6	2	2	2	2	1	1	1	1	3	3	3	3	2	2	2	2	7	6.25	6.25	6.25	6.4375	21	2	4	1	5	1
109	0	1	16	16	1	1	3	2	2	1	4	5	6	6	4	4	5	4	4	4	4	5	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	6	5.25	4.25	4.25	4.9375	27	2	4	2	5	1
110	0	1	16	15	0.9375	1	3	2	2	1	5	4	5	5	4	5	5	5	4	4	4	4	1	1	1	1	1	1	1	1	1	3	3	3	1	1	1	1	6	4.75	4.75	4	4.875		1				
