id	reason
1	I thought about how the other person would interact based on my conversation with the person.
2	There are different kinds of people trustworthy and cheating people. We can always go with trustworthy poeple so that tention and unwanted worries will be less in life.  I always go with the genuine people.
3	I don't know much about the other person in the scenario so I have no reason to positively or negatively judge him/her. Therefore most of my responses were middle of the road except where I felt the situation which was described naturally predicates certain behavior.
4	"I did not feel like I had enough information to make an informed judgement, hence my answers remaining neutral. "
5	I made my judgements based on how I would feel in the situations given.
6	"I generally like and trust people more who claim they feel those ways about those subjects, even if it may not be true."
7	i don't really trust anyone.
8	"I don't really judge people, for the most part I try and be indifferent to others in my life. Without a history of how people act, I rate my trust as somewhere in the middle normally."
9	I based them off of the information provided and off of my gut feelings.
10	based upon the situations and who i spoke to
11	I made my judgments based on what each person I had my conversation with said. 
12	I didn't know if they were cheating or not but i trusted what they said to a small degree.
13	I kind of went down the middle of the choices...I didnt really know enough if anything at all to really make judgements.
14	I basically went by what little information I had - and I knew things were going on - so I didn't trust them as much. 
15	"I usually like to defer judgement until I know someone. For the most part, I tried to limit my judgements about the other people unless I heard something about them through someone else."
16	"Since I really know nothing about the person I was making judgements on, I generally gave them the benefit of the doubt."
17	There was not enough information to make judgements of most of the people in the scenarios.
18	"I assumed that everyone I spoke to was lying, and were attempting to convince people that they weren't doing any socially unacceptable actions. What drove me to believe this was the word ""emphasized""."
19	"Just because a person said they did or didn't participate in certain activities, I did not feel that they were all telling the truth. People that don't know you tend to say what they think you want to hear. So I based my decisions as if they were telling me what they thought I wanted  to hear."
20	I just sort of went with my gut feeling.
21	"Since no evidence was given that the person we evaluated did negative things, I gave them the benefit of the doubt.  "
22	I based my judgements on my own personal beliefs and determining how I would act in the given situations.
23	just people in general how they are
24	On the basic context I had to judge 
25	Common sense?
26	I felt there is nothing to know about one of the group members from talking to a different group member only about his/her own preferences.
27	"The only time I interpreted a conversation as a deliberate insinuation about the other person was in the office setting.  That is because the two women frequently worked together as partners.  The partner I was speaking with stressed her own reliability as a partner, which intimated that her partner was less than reliable.  In the other scenarios, there was no direct evidence that the speaker was making an insinuation about someone else."
28	I used my gut intuition.
29	Based upon the response of the person about the conversation
30	"I was given no true information regarding the subjects and therefore they are in the middle as neither proven or disproven. I would make my ""judgments"" with personal observations of my own."
31	"I used my knowldege of past situations. If people used to tell me they didn't do a certain activity, that tended to be true in most cases."
32	I thought of how I would react and feel in such a situation that was described.
33	"I really couldn't make judgments about anyone as I knew nothing about them, so I usually rated 4 in each category."
34	"I do not dislike people right off the bat, but they need to prove themselves to me. I am neutral toward someone until they prove themselves. The same goes for trust, but I am not very trustful toward men and anyone in the realm of cheating in school due to past experiences. "
35	I based my judgements on the situations stated.  I felt the people descibed were being honest and felt no reason to doubt them.
36	I read everything carfefully and just went with my gut instinct.
37	"I barely knew the people and hadn't talked to them, so I didn't make many judgments about them- with someone who is on my team, or a coworker, I had slightly higher trust because they already made the team/were accepted for the job and I generally trust the people making those decisions."
38	Based on what information I had.
39	How can you determine how you would trust / like someone whom you don't even know?  Therefore I took a neutral position in all of my answers.  You cannot make a judgement on someone that you don't know by talking to someone that you know very little about.
40	If the person I was having a conversation with mentioned they were strongly against something I trusted them on their word.
41	I based it on what I personally held as high standards and values.
42	I didn't really know enough about any of the people besides a broad generalization of the group.  So I mostly stuck around the middle thinking that I neither trusted nor distrusted them.
43	"I just by my gut feeling and sex, name and how I imagine the person."
44	I determined if they were open about themselves
45	I cannot judge people only by gossip. 
46	"The only question that was hard to answer was if I liked the person.  I wouldn't know if I like them, but from what I was told, I would more than likely trust them."
47	It was hard to make these judgements because I was not given very much information on the subject. I basically used the last statement of the exercise to make my decisions. The statement of whether or not they supported the morally questionable action is what I used to decide how I felt about the individual.
48	Based on the given information. Judgments were loosely based considering the minimal information provided. 
49	I based them on the fact that I generally trust people but in these situations I didn't have enough knowledge to know. So I played it safe and generally trusted them more than not.
50	"I made my judgements based on how I could relate to the characters, as well as my gut feelings."
51	Went with my own instinct
52	I didn't know enough about the other person (whom I wasn't speaking with) to make judgments on their character.
53	I trusted that they were telling me the truth.
54	"In each scenario, there was a general acceptance of each person I was questioned about. If those people were morally corrupt, they probably wouldn't still be in the field they were placed. "
55	None
56	Randomly
57	"There was nothing to judge them on.  They each claimed to be honest and not do anything wrong.  I chose to most accept what they said to be the truth, but experience has taught me that most people lie -- so I took what they said to be what they WANTED me to believe."
58	"I tried to trust what the people said, but I didn't always have absolute trust in what they said. So, I was slightly skeptical but mostly believing."
59	Without additional context I found it hard to form any sort of judgement about the people asked about.
60	"Since i didnt know anything about these people, i really didnt trust them "
61	"I don't see how one person's statements should affect my perception of someone else. They weren't necessarily talking about the other person, so it is kind of difficult to judge them one way or another."
62	"I based my judgements on the facts. Without detailed information regarding each scenario, it is difficult to make accurate decisions. Based off of that, I made generalized decisions that each person is trustworthy and honest."
63	I don't know. I just went with my gut.
64	I just went with my first reaction to the situation and the person in their context. based it on how I would feel in real life
65	It's hard to gauge the person that I've never interacted with so I wasn't sure how they are.
66	There were just about no judgements made.  I did not know anything about the person I was not talking to so I couldn't say whether or not I trusted/thought they cheat/ etc.
67	I went purely off of trust.
68	"The way I am, all my interactions with people are based on trust, irrespective of whether I like them or not."
69	"People generally speaking are unlikely to do the specific behaviors listed (so prior probability is not high), and I am generally trusting. "
70	"I generally like people that are truthful. I trust that this interaction with these people was truthful, although you never know that for sure. I gave these people the benefit of the doubt though that they were being honest in their conversations with me."
71	"I went with the general information given in the paragraph and trusted the person I was ""having a conversation with"" to determine the other person's behavior."
72	Intuition?
73	"Because I did not have any interaction with the person in particular, I reserved judgement"
74	"I like to give people the benefit of the doubt. If I have no reason to distrust someone, I'll trust them a reasonable amount."
75	Through logic and based on what information was presented.
76	I just trusted most people when tney said they were disapproving and figured so was the other person.
77	I read the material and then closed my eye to make answers. 
78	"I tried to be mostly fair, since we didn't know the person most the questions were being asked about, however I generally don't trust people I don't know so even went a tick below neutral."
79	"The school cheating one- that's the one where I could see a lot of cheating, because there's huge pressure to do well, and large consequences for doing poorly.  The rest, it just doesn't seem like there's big pressure to do well or, to explain simply, there's not a lot of pressure or incentive to do the wrong thing."
80	I did not want to pass judgements without knowing anything about the subject.
81	I figured that I could trust the judgment and that they did the same.
82	Gut reaction on how I judged them.
83	I generally chose mid-range ratings... if the person told me they were (insert positive phrase/word here) I tended to believe them and therefore rated them more highly than average. 
