condition	cond2	tradhyp	controltrans	liar	likemu_1	likejd_1	likepc	likepd_1	like	goodmu_1	goodjd_1	id	goodpc	goodpd_1	good	trustmu_1	trustjd_1	trustpc	trustpd_1	trust	honestmu_1	honestjd_1	honestpc	honestpd_1	honest	hypmu_1	hypjd_1	hyppc	hyppd_1	hyp	overall	age	gender	edu	income	generaltrust	previousexperience
controltrans	3	0	1	0	57	55	56	40	52	52	44	1	56	41	48.25	47	56	44	41	47	47	56	47	34	46	56	42	44	58	50	48.3125	32	1	2	3	7	1
tradhyp	1	1	0	0	24	45	45	25	34.75	31	40	2	25	50	36.5	26	34	35	10	26.25	16	34	30	15	23.75	86	88	85	91	87.5	30.3125	56	2	5	6	5	1
liar	2	0	0	1	21	27	20	25	23.25	29	31	3	15	18	23.25	22	20	20	27	22.25	4	1	12	9	6.5	88	97	82	98	91.25	18.8125	49	2	4	10	2	1
liar	2	0	0	1	21	34	32	43	32.5	31	41	4	9	48	32.25	17	0	13	24	13.5	23	21	28	21	23.25	100	100	80	76	89	25.375	36	2	4	7	6	2
controltrans	3	0	1	0	34	49	13	50	36.5	21	34	5	15	52	30.5	10	35	11	29	21.25	13	20	20	30	20.75	75	63	76	71	71.25	27.25	26	1	5	5	1	1
controltrans	3	0	1	0	46	48	46	45	46.25	43	48	6	38	46	43.75	44	46	39	48	44.25	47	53	44	48	48	80	54	75	70	69.75	45.5625	25	2	5	6	5	1
controltrans	3	0	1	0	50	50	45	49	48.5	50	50	7	47	49	49	46	46	27	47	41.5	47	48	40	36	42.75	82	42	82	82	72	45.4375	38	2	5	4	5	3
controltrans	3	0	1	0	100	50	50	50	62.5	70	50	8	56	74	62.5	89	53	56	51	62.25	68	54	43	70	58.75	0	13	30	29	18	61.5	26	1	4	4	4	1
tradhyp	1	1	0	0	69	35	26	32	40.5	76	27	9	75	70	62	30	73	35	80	54.5	30	75	26	74	51.25	76	32	76	32	54	52.0625	25	1	5	5	6	4
liar	2	0	0	1	46	14	50	50	40	48	27	10	50	51	44	50	30	50	56	46.5	46	19	48	56	42.25	67	95	56	48	66.5	43.1875	30	2	5	6	7	1
tradhyp	1	1	0	0	46	52	66	54	54.5	46	59	11	71	52	57	40	47	57	60	51	21	53	63	45	45.5	88	80	22	88	69.5	52	26	2	5	6	6	2
tradhyp	1	1	0	0	50	48	50	44	48	50	50	12	49	50	49.75	25	26	30	25	26.5	23	28	30	9	22.5	80	86	81	85	83	36.6875	38	2	5	6	6	1
liar	2	0	0	1	50	43	36	50	44.75	41	56	13	38	57	48	37	42	31	50	40	30	36	33	38	34.25	67	64	72	80	70.75	41.75	47	2	5	7	5	2
liar	2	0	0	1	36	50	34	38	39.5	41	38	14	41	50	42.5	34	39	37	33	35.75	33	40	33	37	35.75	73	64	67	71	68.75	38.375	25	2	4	1	4	1
tradhyp	1	1	0	0	50	50	34	50	46	40	50	15	42	42	43.5	26	28	33	28	28.75	38	37	33	31	34.75	70	72	70	74	71.5	38.25	52	2	5	5	5	3
