id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
1	controltrans	3	0	1	0	0	50			46	48	42			45	43.5	43			44	43.5	23			39	31	39			47	43	41.5	50	2	4	1	4	2
2	tradhyp	1	1	0	0	0	32			9	20.5	27			15	21	12			19	15.5	3			9	6	78			79	78.5	15.75	35	2	5	6	4	2
3	disclosurehyp	4	0	0	0	1		25	21		23		16	17		16.5		26	9		17.5		27	15		21		91	100		95.5	19.5	26	1	5	3	6	2
4	tradhyp	1	1	0	0	0			45	25	35			53	36	44.5			34	13	23.5			34	5	19.5			28	91	59.5	30.625	30	1	5	6	4	2
5	controltrans	3	0	1	0	0	55	64			59.5	60	56			58	66	43			54.5	40	41			40.5	64	63			63.5	53.125	22	1	5	3	3	4
6	disclosurehyp	4	0	0	0	1	50	49			49.5	50	36			43	42	41			41.5	42	42			42	72	74			73	44	43	1	6	8	4	1
7	disclosurehyp	4	0	0	0	1	32	36			34	51	50			50.5	31	31			31	7	29			18	77	76			76.5	33.375	29	2	6	10	5	4
8	disclosurehyp	4	0	0	0	1	9			1	5	3			42	22.5	0			0	0	0			0	0	98			2	50	6.875	59	2	2	7	5	1
9	disclosurehyp	4	0	0	0	1		37	72		54.5		46	26		36		22	17		19.5		0	7		3.5		100	100		100	28.375	26	2	5	2	3	2
10	controltrans	3	0	1	0	0	0			0	0	0			0	0	0			0	0	0			0	0	0			0	0	0	35	2	4	4	1	3
11	tradhyp	1	1	0	0	0	50			50	50	50			59	54.5	32			38	35	18			43	30.5	94			75	84.5	42.5	34	1	4	6	5	2
12	tradhyp	1	1	0	0	0			0	0	0			28	26	27			5	6	5.5			13	6	9.5			100	100	100	10.5	23	1	4	4	3	1
13	controltrans	3	0	1	0	0			12	37	24.5			34	41	37.5			5	18	11.5			2	17	9.5			81	70	75.5	20.75	64	2	4	4	3	2
14	controltrans	3	0	1	0	0			49	50	49.5			50	52	51			0	0	0			0	0	0			99	100	99.5	25.125	35	2	5	4	6	3
15	tradhyp	1	1	0	0	0			13	7	10			50	52	51			9	15	12			28	22	25			100	100	100	24.5	22	1	4	2	6	1
16	tradhyp	1	1	0	0	0	43	33			38	51	42			46.5	48	46			47	11	45			28	97	86			91.5	39.875	31	1	5	5	5	2
17	tradhyp	1	1	0	0	0		50	37		43.5		53	50		51.5		49	37		43		48	43		45.5		56	92		74	45.875	24	2	6	4	5	1
18	controltrans	3	0	1	0	0	0			0	0	13			0	6.5	0			0	0	0			0	0	48			50	49	1.625	30	2	5	6	3	2
19	honesthyp	2	0	0	1	0			40	49	44.5			34	50	42			38	54	46			47	58	52.5			67	57	62	46.25	23	2	5	3	5	3
20	disclosurehyp	4	0	0	0	1	16	14			15	17	24			20.5	10	18			14	16	22			19	69	81			75	17.125	37	2	6	8	5	1
21	tradhyp	1	1	0	0	0	43	45			44	46	48			47	26	26			26	30	43			36.5	88	84			86	38.375	29	2	2	3	4	3
22	controltrans	3	0	1	0	0		54	28		41		59	34		46.5		73	36		54.5		44	41		42.5		11	56		33.5	46.125	21	1	4	1	4	1
23	disclosurehyp	4	0	0	0	1	40	29			34.5	49	38			43.5	36	23			29.5	25	23			24	86	100			93	32.875	41	2	4	6	1	1
24	disclosurehyp	4	0	0	0	1			4	7	5.5			9	22	15.5			5	9	7			4	6	5			96	94	95	8.25	25	2	4	2	7	1
25	honesthyp	2	0	0	1	0			34	19	26.5			49	47	48			46	38	42			24	43	33.5			73	82	77.5	37.5	29	2	6	4	6	3
26	disclosurehyp	4	0	0	0	1			11	44	27.5			17	29	23			5	6	5.5			12	13	12.5			17	2	9.5	17.125	33	2	2	4	6	2
27	honesthyp	2	0	0	1	0	30			16	23	43			22	32.5	30			15	22.5	36			8	22	81			97	89	25	33	1	5	2	5	1
28	honesthyp	2	0	0	1	0	55			57	56	58			54	56	39			51	45	62			54	58	61			52	56.5	53.75	47	2	5	5	5	3
